Internal_ID,Internal_Variant_ID,Brand,FC_Title_Short,US_Title_Short,SKU,Visible,Stock_Disable_Sold_Out,Score,Priorité,Type de correction,Erreurs critiques,Erreurs majeures,Erreurs mineures,Alertes catalogue
63363515,!ID:105892827,SACHAJUAN,Lotion pour le Corps (500ml / 16.9 oz) ,Body Lotion (500ml / 16.9 oz) ,,N,Y,90,Action requise,HTML à corriger,,FC H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63364155,!ID:105893976,SACHAJUAN,Nettoyant pour le Corps (500ml / 16.9 oz) ,Body Wash (500ml / 16.9 oz) ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63364155,!ID:105894078,SACHAJUAN,Nettoyant pour le Corps (500ml / 16.9 oz) ,Body Wash (500ml / 16.9 oz) ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63364155,!ID:105894137,SACHAJUAN,Nettoyant pour le Corps (500ml / 16.9 oz) ,Body Wash (500ml / 16.9 oz) ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63364523,!ID:105894762,SACHAJUAN,Shampooing Poudre Cheveux Foncés,Dark Dry Powder Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63364523,!ID:105895095,SACHAJUAN,Shampooing Poudre Cheveux Foncés,Dark Dry Powder Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63364759,!ID:105895246,SACHAJUAN,Shampooing Poudre Sèche,Dry Powder Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63364888,!ID:105895584,SACHAJUAN,Shampooing Sec en Mousse (200ml / 173g),Dry Shampoo Mousse (200ml / 173g),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63366919,!ID:105899271,SACHAJUAN,Nettoyant pour les Mains (300ml / 10.1 oz),Hand Wash (300ml / 10.1 oz),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63366946,!ID:105899310,SACHAJUAN,Pâte Fibreuse (75ml / 2.5 oz),Fibre Paste  (75ml / 2.5 oz),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63366977,!ID:105899378,SACHAJUAN,Hair After The Sun — Crème Nourrissante pour Cheveux (100ml / 3.4 oz),Hair After The Sun — Hair Treatment (100ml / 3.4 oz),,N,Y,83,Action requise,HTML à corriger | SEO à corriger,,US H2 HOW TO USE / USE manquant | FC meta description manquante | US meta description manquante,FR meta description manquante,Produit invisible — vérifier si volontaire
63366997,!ID:105899432,SACHAJUAN, Hair In The Sun — Crème Protectrice pour Cheveux (100ml / 3.4 oz),Hair In The Sun — Hair Protecting Cream (100ml / 3.4 oz),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63367038,!ID:105899500,SACHAJUAN,Mousse Coiffante Tenue Moyenne (200ml / 1.89g),Hair Mousse Medium Hold (200ml / 1.89g),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63367064,!ID:105899538,SACHAJUAN,Pâte Coiffante (75ml / 2.5 oz),Hair Paste (75ml / 2.5 oz),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63367105,!ID:105899683,SACHAJUAN,Masque Réparateur,Hair Repair Treatment ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63367105,!ID:105899703,SACHAJUAN,Masque Réparateur,Hair Repair Treatment ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63367105,!ID:105899719,SACHAJUAN,Masque Réparateur,Hair Repair Treatment ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
